uberID,CATAID,RA,Dec,spec_z,stellar_mass,HUBBLE_TYPE,mag_u,mag_g,mag_r,mag_i,mag_Z,mag_Y,mag_J,mag_H,mag_K,u_g,g_r,r_i,Z_Y,Y_J,J_H,H_K,scaled_mag_u,scaled_mag_g,scaled_mag_r,scaled_mag_i,scaled_mag_Z,scaled_mag_Y,scaled_mag_J,scaled_mag_H,scaled_mag_K,scaled_u_g,scaled_g_r,scaled_r_i,scaled_Z_Y,scaled_Y_J,scaled_J_H,scaled_H_K,scaled_spec_z,scaled_stellar_mass,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2,kmeans_cluster,gmm_cluster,subset_kmeans_cluster,subset_gmm_cluster
213000422603453,617767,213.185436297631,0.241815910738861,0.05354,9.769588,E,20.210497,18.65388,17.819813,17.458801,17.175903,16.923084,16.709814,16.419044,16.536264,1.5566177,0.8340664,0.3610115,0.25281906,0.21327019,0.29076958,-0.117219925,-0.79645234,-1.1071072,-1.1261286,-1.0951589,-1.1503304,-1.1928718,-1.1991946,-1.2519413,-0.984289,0.20616528,-0.37555707,-0.08304895,0.6516137,0.24335198,0.45659158,-1.3114687,-1.6271217,-1.0545524,-3.605344232172141,-0.965134120313186,4.244948,-1.2452817,-55.96387100219727,-35.657508850097656,1,4,1,3
213000452100741,592478,213.157596178681,-0.0135298439663599,0.03519,8.8763075,Sd-Irr,19.412504,18.476109,18.115345,17.887596,17.920223,17.826809,17.770641,17.723206,17.91122,0.93639565,0.36076355,0.22774887,0.09341431,0.056167603,0.04743576,-0.18801498,-1.4656852,-1.2909856,-0.767908,-0.58091515,-0.24974015,-0.12211918,0.032927763,0.23561728,0.60159016,-0.8537169,-1.6337492,-0.7802374,-1.200925,-1.2452341,-1.249679,-1.6916486,-1.8104917,-2.5109131,-1.229198160031343,-4.820848867858438,5.1475005,3.6092458,,,5,6,5,4
213000454802390,77403,213.155147402649,0.1417700837572469,0.05405,9.784318,Sab-Scd,19.256874,18.029873,17.394547,17.102436,16.945267,16.762197,16.652079,16.542788,16.631718,1.2270012,0.6353264,0.29211044,0.18306923,0.110118866,0.10929108,-0.08893013,-1.5962038,-1.752553,-1.6416024,-1.5225395,-1.4293895,-1.3834939,-1.2662526,-1.1107968,-0.87419283,-0.3571083,-0.9038724,-0.44351774,-0.15899113,-0.73403245,-0.815946,-1.1595483,-1.6220254,-1.0305382,-4.330970149539777,-2.523955855532172,5.966979,-0.4839433,,,6,4,1,2
213000467012083,28736,213.143519174483,1.054153007028,0.04623,9.038568,Sd-Irr,19.70889,17.894793,17.481731,17.858704,17.17247,17.02298,17.053421,16.831861,16.958721,1.8140984,0.41306114,-0.3769722,0.14949036,-0.030441284,0.22155952,-0.12685966,-1.217122,-1.8922745,-1.5359238,-0.61556524,-1.1544845,-1.0745134,-0.8001043,-0.78107196,-0.49702588,0.6461676,-1.4947253,-3.9439487,-0.54923147,-2.0658748,-0.028713241,-1.3632355,-1.7001699,-2.2463725,-3.284512925690682,-4.40247218241247,5.914628,1.8418026,,,5,4,3,5
213000475509452,14912,213.135150608754,0.807104545828148,0.01767,7.819733,Sd-Irr,20.504156,19.360044,18.951027,18.748022,18.752796,18.402729,18.856976,18.68974,19.450357,1.1441116,0.40901756,0.20300484,0.35006714,-0.45424652,0.16723633,-0.7606182,-0.5501763,-0.37667948,0.24503893,0.45097393,0.757632,0.5602435,1.2946757,1.3380696,2.376836,-0.49875617,-1.5054744,-0.9096904,1.7817923,-6.081535,-0.4096306,-4.766613,-1.9855675,-4.2334995,1.6138694982690174,-6.784507650002114,4.533415,6.557755,,,3,6,6,6
213000483110448,105735,213.12843228659,0.9003462808199559,0.0528,9.280586,Sd-Irr,18.742361,17.78947,17.441475,17.279251,17.274931,17.115877,17.139973,16.951462,17.328606,0.9528904,0.34799576,0.16222382,0.1590538,-0.024095535,0.1885109,-0.37714386,-2.0276978,-2.001215,-1.5847195,-1.3104893,-1.0305119,-0.9644466,-0.69957685,-0.64465284,-0.07039986,-0.8255294,-1.6676902,-1.1230439,-0.4380889,-2.0057473,-0.26045212,-2.7072988,-1.6345166,-1.8517973,-3.562277502458533,-4.6523012964122605,5.93654,1.8487624,,,5,4,3,5
213000494701910,77399,213.117477811111,0.096538153139386,0.05418,10.061928,E,19.338528,17.611038,16.788042,16.439907,16.197737,16.001556,15.826114,15.629835,15.787334,1.7274895,0.82299614,0.348135,0.19618034,0.1754427,0.19627857,-0.15749931,-1.5277253,-2.185778,-2.3767586,-2.3170953,-2.3338637,-2.284718,-2.2255886,-2.152133,-1.8481073,0.49816376,-0.4049854,-0.15041482,-0.006618974,-0.11507292,-0.20598473,-1.5277749,-1.6207262,-0.577937,-6.704499001587965,-1.2029463079479594,7.143496,-2.595038,,,6,2,4,2
213000507110523,105730,213.105691956918,0.9075212814559392,0.05392,9.820908,Sd-Irr,18.577322,17.462696,16.951698,16.684698,16.550642,16.39987,16.277395,16.139837,16.218313,1.1146259,0.5109978,0.2670002,0.1507721,0.12247467,0.13755798,-0.07847595,-2.1661072,-2.339217,-2.1783876,-2.023523,-1.9068658,-1.8127875,-1.7014374,-1.570412,-1.3510149,-0.54914355,-1.2343781,-0.5748867,-0.5343356,-0.61695814,-0.6177368,-1.1034079,-1.6233245,-0.97088426,-5.742762617683338,-2.8254617393929498,6.8692455,-1.039666,-72.57064056396484,-41.19154357910156,6,2,1,2
213000523706518,91697,213.09023225074,0.530413691273534,0.05375,10.392881,E,18.029154,16.32722,15.516142,15.215366,14.987127,14.790949,14.633404,14.397156,14.598473,1.7019329,0.811079,0.30077553,0.19617844,0.15754509,0.23624802,-0.20131683,-2.625826,-3.5137045,-3.9184544,-3.7856588,-3.7986412,-3.7190723,-3.610889,-3.5581577,-3.2193446,0.45449078,-0.43666494,-0.39818475,-0.00664114,-0.28465718,0.0742833,-1.7630816,-1.6250232,-0.038366757,-10.836132837355784,-1.11182142074051,9.770191,-2.6524062,,,6,2,2,1
213000550206441,91695,213.065248587888,0.523114283773739,0.05321,9.589285,Sab-Scd,18.193394,17.21156,16.87698,16.71418,16.661804,16.535109,16.564217,16.514153,16.653124,0.9818344,0.33457947,0.16279984,0.12669563,-0.029108047,0.050064087,-0.13897133,-2.4880867,-2.598982,-2.2689555,-1.9881661,-1.7723651,-1.6525538,-1.368302,-1.1434587,-0.8495029,-0.7760677,-1.703355,-1.1200304,-0.81414264,-2.0532422,-1.231249,-1.4282769,-1.6304194,-1.3485104,-5.365330711234194,-4.4029022355899565,6.798439,0.060882404,,,6,4,1,5
